echelle;categorie;type;annee;valeur;surface;irrigation;nombre_exploitation_bio;surface_bio
Nive Adour;Surface;oléagineux;2010;0;0;0;0;0
Nive Adour;Surface;pommes de terre;2010;-999;-999;0;0;0
Nive Adour;Surface;total SAU  dont;2010;113;1858,93;12,66;0;0
Nive Adour;Surface;plantes à fibres et plantes industrielles diverses;2010;0;0;0;0;0
Nive Adour;Surface;fourrages annuels;2010;28;228,67;0;0;0
Nive Adour;Surface;plantes à parfum, aromatiques, médicinales;2010;-999;-999;0,58;0;0
Nive Adour;Surface;vignes;2010;-999;-999;0;0;0
Nive Adour;Surface;céréales;2010;35;274,5;0;0;0
Nive Adour;Surface;légumes frais, plants de légumes, melons ou fraises;2010;6;12,4;11,13;0;0
Nive Adour;Surface;fleurs et plantes ornementales;2010;-999;-999;-999;0;0
Nive Adour;Surface;cultures fruitières;2010;-999;-999;0;0;0
Nive Adour;Surface;céréales;2020;32;278,57;0;0;0
Nive Adour;Surface;vignes;2020;-999;-999;0;0;0
Nive Adour;Surface;total SAU  dont;2020;90;1668,84;20,84;6;65,97
Nive Adour;Surface;plantes à parfum, aromatiques, médicinales;2020;-999;-999;-999;-999;0
Nive Adour;Surface;pommes de terre;2020;-999;-999;-999;0;0
Nive Adour;Surface;cultures fruitières;2020;4;5,97;0;-999;0
Nive Adour;Surface;jachères;2020;6;7,48;0;0;0
Nive Adour;Surface;oléagineux;2020;-999;-999;0;0;0
Nive Adour;Surface;protéagineux et légumes secs pour leur graine;2020;0;0;0;0;0
Nive Adour;Surface;fourrages annuels;2020;13;96,65;0;-999;0
Nive Adour;Surface;fleurs et plantes ornementales;2020;-999;-999;-999;-999;0
Nive Adour;Surface;plantes à fibres et plantes industrielles diverses;2020;0;0;0;0;0
Nive Adour;Surface;légumes frais, plants de légumes, melons ou fraises;2020;11;23,15;17,93;3;5,59
Nive Adour;Surface;prairies;2020;81;1236,79;-999;4;48,17
Pays de Bidache;Surface;fourrages annuels;2010;91;934,7;-999;0;0
Pays de Bidache;Surface;prairies;2010;224;5222,01;0;0;0
Pays de Bidache;Surface;légumes frais, plants de légumes, melons ou fraises;2010;4;4,16;3,96;0;0
Pays de Bidache;Surface;vignes;2010;5;1,06;0;0;0
Pays de Bidache;Surface;pommes de terre;2010;-999;-999;0;0;0
Pays de Bidache;Surface;cultures fruitières;2010;26;67,53;45,88;0;0
Pays de Bidache;Surface;oléagineux;2010;7;45,99;0;0;0
Pays de Bidache;Surface;céréales;2010;172;3032,68;284,94;0;0
Pays de Bidache;Surface;jachères;2010;26;226,28;0;0;0
Pays de Bidache;Surface;protéagineux et légumes secs pour leur graine;2010;-999;-999;0;0;0
Pays de Bidache;Surface;fleurs et plantes ornementales;2010;0;0;0;0;0
Pays de Bidache;Surface;plantes à parfum, aromatiques, médicinales;2010;0;0;0;0;0
Pays de Bidache;Surface;total SAU  dont;2010;249;9565,1;349,83;0;0
Pays de Bidache;Surface;plantes à fibres et plantes industrielles diverses;2010;-999;-999;-999;0;0
Pays de Bidache;Surface;céréales;2020;134;2807,45;322,64;4;51,3
Pays de Bidache;Surface;plantes à parfum, aromatiques, médicinales;2020;-999;-999;-999;-999;0
Pays de Bidache;Surface;fleurs et plantes ornementales;2020;-999;-999;-999;0;0
Pays de Bidache;Surface;protéagineux et légumes secs pour leur graine;2020;-999;-999;0;-999;0
Pays de Bidache;Surface;cultures fruitières;2020;36;106,24;81,73;5;8,55
Pays de Bidache;Surface;total SAU  dont;2020;226;9181,01;455,57;15;620,43
Pays de Bidache;Surface;jachères;2020;60;150,23;0;-999;0
Pays de Bidache;Surface;légumes frais, plants de légumes, melons ou fraises;2020;12;8,22;6,82;5;4,13
Pays de Bidache;Surface;vignes;2020;3;0,59;0;-999;0
Pays de Bidache;Surface;fourrages annuels;2020;46;486,27;-999;4;32,89
Pays de Bidache;Surface;oléagineux;2020;52;483,57;28,52;4;18,75
Pays de Bidache;Surface;plantes à fibres et plantes industrielles diverses;2020;-999;-999;-999;0;0
Pays de Bidache;Surface;pommes de terre;2020;3;0,33;-999;-999;0
Pays de Bidache;Surface;prairies;2020;204;5112,96;0;12;497,03
Pays d'Hasparren;Surface;céréales;2010;117;500,11;-999;0;0
Pays d'Hasparren;Surface;plantes à fibres et plantes industrielles diverses;2010;0;0;0;0;0
Pays d'Hasparren;Surface;pommes de terre;2010;-999;-999;0;0;0
Pays d'Hasparren;Surface;fleurs et plantes ornementales;2010;-999;-999;-999;0;0
Pays d'Hasparren;Surface;cultures fruitières;2010;11;9,27;0;0;0
Pays d'Hasparren;Surface;total SAU  dont;2010;571;16306,81;20,06;0;0
Pays d'Hasparren;Surface;jachères;2010;11;-999;0;0;0
Pays d'Hasparren;Surface;vignes;2010;25;4,93;0;0;0
Pays d'Hasparren;Surface;protéagineux et légumes secs pour leur graine;2010;-999;-999;0;0;0
Pays d'Hasparren;Surface;légumes frais, plants de légumes, melons ou fraises;2010;8;10,53;6,04;0;0
Pays d'Hasparren;Surface;oléagineux;2010;0;0;0;0;0
Pays d'Hasparren;Surface;plantes à parfum, aromatiques, médicinales;2010;3;4,51;0;0;0
Pays d'Hasparren;Surface;fourrages annuels;2010;236;1558,91;-999;0;0
Pays d'Hasparren;Surface;prairies;2010;569;14094,2;-999;0;0
Pays d'Hasparren;Surface;oléagineux;2020;7;28,63;0;-999;0
Pays d'Hasparren;Surface;jachères;2020;14;43,52;0;0;0
Pays d'Hasparren;Surface;total SAU  dont;2020;503;15655,6;31,87;34;874,84
Pays d'Hasparren;Surface;céréales;2020;132;752,02;0;11;53,88
Pays d'Hasparren;Surface;protéagineux et légumes secs pour leur graine;2020;-999;-999;0;-999;0
Pays d'Hasparren;Surface;plantes à parfum, aromatiques, médicinales;2020;-999;-999;0;0;0
Pays d'Hasparren;Surface;plantes à fibres et plantes industrielles diverses;2020;0;0;0;0;0
Pays d'Hasparren;Surface;fleurs et plantes ornementales;2020;-999;-999;-999;0;0
Pays d'Hasparren;Surface;cultures fruitières;2020;13;12,32;0,89;8;8,14
Pays d'Hasparren;Surface;pommes de terre;2020;7;0,4;0;-999;0
Pays d'Hasparren;Surface;légumes frais, plants de légumes, melons ou fraises;2020;20;32,98;21;6;22,77
Pays d'Hasparren;Surface;prairies;2020;501;13875,36;-999;30;777,64
Pays d'Hasparren;Surface;fourrages annuels;2020;109;814,8;0;-999;0
Pays d'Hasparren;Surface;vignes;2020;6;1,1;0;0;0
Soule Xiberoa;Surface;prairies;2010;719;21275,95;0;0;0
Soule Xiberoa;Surface;vignes;2010;5;1,29;0;0;0
Soule Xiberoa;Surface;total SAU  dont;2010;739;23736,49;325,41;0;0
Soule Xiberoa;Surface;pommes de terre;2010;-999;-999;-999;0;0
Soule Xiberoa;Surface;fourrages annuels;2010;259;837,11;-999;0;0
Soule Xiberoa;Surface;céréales;2010;294;1545,49;298,73;0;0
Soule Xiberoa;Surface;plantes à fibres et plantes industrielles diverses;2010;-999;-999;0;0;0
Soule Xiberoa;Surface;oléagineux;2010;-999;-999;0;0;0
Soule Xiberoa;Surface;fleurs et plantes ornementales;2010;-999;-999;-999;0;0
Soule Xiberoa;Surface;plantes à parfum, aromatiques, médicinales;2010;-999;-999;0;0;0
Soule Xiberoa;Surface;cultures fruitières;2010;4;7,32;6;0;0
Soule Xiberoa;Surface;jachères;2010;4;28,09;0;0;0
Soule Xiberoa;Surface;protéagineux et légumes secs pour leur graine;2010;-999;-999;0;0;0
Soule Xiberoa;Surface;légumes frais, plants de légumes, melons ou fraises;2010;8;19,02;16,78;0;0
Soule Xiberoa;Surface;fourrages annuels;2020;109;363,56;-999;-999;0
Soule Xiberoa;Surface;fleurs et plantes ornementales;2020;0;0;0;0;0
Soule Xiberoa;Surface;protéagineux et légumes secs pour leur graine;2020;-999;-999;0;-999;0
Soule Xiberoa;Surface;prairies;2020;586;20850,67;19,92;31;921,52
Soule Xiberoa;Surface;légumes frais, plants de légumes, melons ou fraises;2020;19;50,48;27,92;-999;0
Soule Xiberoa;Surface;oléagineux;2020;14;102,9;19,41;0;0
Soule Xiberoa;Surface;plantes à fibres et plantes industrielles diverses;2020;0;0;0;0;0
Soule Xiberoa;Surface;vignes;2020;7;1,27;0;0;0
Soule Xiberoa;Surface;jachères;2020;19;63,54;0;0;0
Soule Xiberoa;Surface;total SAU  dont;2020;595;23102,71;371,92;34;1067,46
Soule Xiberoa;Surface;céréales;2020;220;1626,95;286,84;10;95,91
Soule Xiberoa;Surface;plantes à parfum, aromatiques, médicinales;2020;-999;-999;0;0;0
Soule Xiberoa;Surface;pommes de terre;2020;12;1,16;0;0;0
Soule Xiberoa;Surface;cultures fruitières;2020;10;18,33;8,9;6;11,72
Sud Pays Basque;Surface;protéagineux et légumes secs pour leur graine;2010;-999;-999;0;0;0
Sud Pays Basque;Surface;fourrages annuels;2010;106;778,77;0;0;0
Sud Pays Basque;Surface;total SAU  dont;2010;385;6857,96;5,91;0;0
Sud Pays Basque;Surface;vignes;2010;5;3,29;0;0;0
Sud Pays Basque;Surface;fleurs et plantes ornementales;2010;3;1,02;-999;0;0
Sud Pays Basque;Surface;cultures fruitières;2010;5;7,8;-999;0;0
Sud Pays Basque;Surface;oléagineux;2010;-999;-999;0;0;0
Sud Pays Basque;Surface;prairies;2010;362;5526,55;0;0;0
Sud Pays Basque;Surface;jachères;2010;5;17,6;0;0;0
Sud Pays Basque;Surface;céréales;2010;93;469,78;0;0;0
Sud Pays Basque;Surface;plantes à parfum, aromatiques, médicinales;2010;14;14,13;-999;0;0
Sud Pays Basque;Surface;légumes frais, plants de légumes, melons ou fraises;2010;22;20,64;5;0;0
Sud Pays Basque;Surface;pommes de terre;2010;13;3,66;-999;0;0
Sud Pays Basque;Surface;plantes à fibres et plantes industrielles diverses;2010;0;0;0;0;0
Sud Pays Basque;Surface;oléagineux;2020;0;0;0;0;0
Sud Pays Basque;Surface;plantes à parfum, aromatiques, médicinales;2020;28;42,57;0,08;8;14,42
Sud Pays Basque;Surface;légumes frais, plants de légumes, melons ou fraises;2020;34;48,71;15,56;15;25,18
Sud Pays Basque;Surface;jachères;2020;21;39,34;0;-999;0
Sud Pays Basque;Surface;plantes à fibres et plantes industrielles diverses;2020;0;0;0;0;0
Sud Pays Basque;Surface;protéagineux et légumes secs pour leur graine;2020;-999;-999;0;0;0
Sud Pays Basque;Surface;pommes de terre;2020;8;4,58;-999;-999;0
Sud Pays Basque;Surface;céréales;2020;78;492,13;0;7;26,86
Sud Pays Basque;Surface;fleurs et plantes ornementales;2020;-999;-999;-999;0;0
Sud Pays Basque;Surface;total SAU  dont;2020;310;6452,74;57,5;38;627,75
Sud Pays Basque;Surface;prairies;2020;292;5396,65;-999;31;539,2
Sud Pays Basque;Surface;vignes;2020;3;2,01;0;-999;0
Sud Pays Basque;Surface;cultures fruitières;2020;10;14,87;0;6;10,17
Sud Pays Basque;Surface;fourrages annuels;2020;54;400,42;-999;4;11,32
