echelle;categorie;type;annee;valeur;age_5;age_moy;;;;echelle;annee;Moyenne_age;;;;
Iholdi Oztibarre;Age;0;2010;48;(55,60];58;;2760;;;;;;;;
Iholdi Oztibarre;Age;0;2010;84;(40,45];43;;3570;;;;;;;;
Iholdi Oztibarre;Age;0;2010;28;(30,35];33;;910;;;;;;;;
Iholdi Oztibarre;Age;0;2020;40;(25,30];28;;1100;;;;;;;;
Iholdi Oztibarre;Age;0;2020;71;(45,50];48;;3373;;;;;;;;
Iholdi Oztibarre;Age;0;2020;12;(70,Inf];75;;900;;;;;;;;
Iholdi Oztibarre;Age;0;2020;47;(40,45];43;;1998;;;;;;;;
Iholdi Oztibarre;Age;0;2020;85;(50,55];53;;4463;;;;;;;;
Iholdi Oztibarre;Age;0;2020;48;(35,40];38;;1800;;;;;;;;
Iholdi Oztibarre;Age;0;2020;25;(0,25];20;;500;;;;;;;;
Iholdi Oztibarre;Age;0;2020;23;(60,65];63;;1438;;;;;;;;
Iholdi Oztibarre;Age;0;2020;13;(65,70];68;;878;;;;;;;;
Iholdi Oztibarre;Age;0;2020;30;(30,35];33;;975;;;;;;;;
Iholdi Oztibarre;Age;0;2020;90;(55,60];58;;5175;;;;;;;;
Nive Adour;Age;F;2010;3;0;;;;;;;;;;;
Nive Adour;Age;F;2010;13;0;;;;;;;;;;;
Nive Adour;Age;M;2010;24;0;;;;;;;;;;;
Nive Adour;Age;F;2010;5;0;;;;;;;;;;;
Nive Adour;Age;M;2010;15;0;;;;;;;;;;;
Nive Adour;Age;M;2010;20;0;;;;;;;;;;;
Nive Adour;Age;F;2010;10;0;;;;;;;;;;;
Nive Adour;Age;M;2010;28;0;;;;;;;;;;;
Nive Adour;Age;F;2020;3;0;;;;;;;;;;;
Nive Adour;Age;M;2020;15;0;;;;;;;;;;;
Nive Adour;Age;M;2020;31;0;;;;;;;;;;;
Nive Adour;Age;M;2020;16;0;;;;;;;;;;;
Nive Adour;Age;F;2020;9;0;;;;;;;;;;;
Nive Adour;Age;F;2020;6;0;;;;;;;;;;;
Nive Adour;Age;F;2020;5;0;;;;;;;;;;;
Nive Adour;Age;M;2020;22;0;;;;;;;;;;;
Pays de Bidache;Age;0;2010;55;(45,50];48;;2613;;;;;;;;
Pays de Bidache;Age;0;2010;10;(65,70];68;;675;;;;;;;;
Pays de Bidache;Age;0;2010;22;(30,35];33;;715;;;;;;;;
Pays de Bidache;Age;0;2010;37;(50,55];53;;1943;;;;;;;;
Pays de Bidache;Age;0;2010;47;(55,60];58;;2703;;;;;;;;
Pays de Bidache;Age;0;2010;19;(70,Inf];75;;1425;;;;;;;;
Pays de Bidache;Age;0;2010;6;(0,25];20;;120;;;;;;;;
Pays de Bidache;Age;0;2010;37;(40,45];43;;1573;;;;;;;;
Pays de Bidache;Age;0;2010;47;(35,40];38;;1763;;;;;;;;
Pays de Bidache;Age;0;2010;8;(25,30];28;;220;;;;;;;;
Pays de Bidache;Age;0;2010;21;(60,65];63;;1313;;;;;;;;
Pays de Bidache;Age;0;2020;31;(40,45];43;;1318;;;;;;;;
Pays de Bidache;Age;0;2020;34;(50,55];53;;1785;;;;;;;;
Pays de Bidache;Age;0;2020;47;(45,50];48;;2233;;;;;;;;
Pays de Bidache;Age;0;2020;20;(60,65];63;;1250;;;;;;;;
Pays de Bidache;Age;0;2020;16;(30,35];33;;520;;;;;;;;
Pays de Bidache;Age;0;2020;14;(25,30];28;;385;;;;;;;;
Pays de Bidache;Age;0;2020;32;(35,40];38;;1200;;;;;;;;
Pays de Bidache;Age;0;2020;15;(65,70];68;;1013;;;;;;;;
Pays de Bidache;Age;0;2020;4;(0,25];20;;80;;;;;;;;
Pays de Bidache;Age;0;2020;19;(70,Inf];75;;1425;;;;;;;;
Pays de Bidache;Age;0;2020;51;(55,60];58;;2933;;;;;;;;
Pays d'Hasparren;Age;0;2010;40;(60,65];63;;2500;;;;;;;;
Pays d'Hasparren;Age;0;2010;106;(55,60];58;;6095;;;;;;;;
Pays d'Hasparren;Age;0;2010;118;(45,50];48;;5605;;;;;;;;
Pays d'Hasparren;Age;0;2010;93;(50,55];53;;4883;;;;;;;;
Pays d'Hasparren;Age;0;2010;13;(65,70];68;;878;;;;;;;;
Pays d'Hasparren;Age;0;2010;30;(70,Inf];75;;2250;;;;;;;;
Pays d'Hasparren;Age;0;2010;32;(25,30];28;;880;;;;;;;;
Pays d'Hasparren;Age;0;2010;24;(0,25];20;;480;;;;;;;;
Pays d'Hasparren;Age;0;2010;57;(30,35];33;;1853;;;;;;;;
Pays d'Hasparren;Age;0;2010;85;(35,40];38;;3188;;;;;;;;
Pays d'Hasparren;Age;0;2010;88;(40,45];43;;3740;;;;;;;;
Pays d'Hasparren;Age;0;2020;57;(30,35];33;;1853;;;;;;;;
Pays d'Hasparren;Age;0;2020;28;(70,Inf];75;;2100;;;;;;;;
Pays d'Hasparren;Age;0;2020;89;(45,50];48;;4228;;;;;;;;
Pays d'Hasparren;Age;0;2020;79;(50,55];53;;4148;;;;;;;;
Pays d'Hasparren;Age;0;2020;42;(60,65];63;;2625;;;;;;;;
Pays d'Hasparren;Age;0;2020;30;(65,70];68;;2025;;;;;;;;
Pays d'Hasparren;Age;0;2020;83;(40,45];43;;3528;;;;;;;;
Pays d'Hasparren;Age;0;2020;112;(55,60];58;;6440;;;;;;;;
Pays d'Hasparren;Age;0;2020;14;(0,25];20;;280;;;;;;;;
Pays d'Hasparren;Age;0;2020;24;(25,30];28;;660;;;;;;;;
Pays d'Hasparren;Age;0;2020;56;(35,40];38;;2100;;;;;;;;
Soule Xiberoa;Age;0;2010;151;(50,55];53;;7928;;;;;;;;
Soule Xiberoa;Age;0;2010;55;(25,30];28;;1513;;;;;;;;
Soule Xiberoa;Age;0;2010;20;(0,25];20;;400;;;;;;;;
Soule Xiberoa;Age;0;2010;53;(60,65];63;;3313;;;;;;;;
Soule Xiberoa;Age;0;2010;75;(30,35];33;;2438;;;;;;;;
Soule Xiberoa;Age;0;2010;127;(40,45];43;;5398;;;;;;;;
Soule Xiberoa;Age;0;2010;155;(45,50];48;;7363;;;;;;;;
Soule Xiberoa;Age;0;2010;11;(65,70];68;;743;;;;;;;;
Soule Xiberoa;Age;0;2010;91;(35,40];38;;3413;;;;;;;;
Soule Xiberoa;Age;0;2010;116;(55,60];58;;6670;;;;;;;;
Soule Xiberoa;Age;0;2010;31;(70,Inf];75;;2325;;;;;;;;
Soule Xiberoa;Age;0;2020;96;(35,40];38;;3600;;;;;;;;
Soule Xiberoa;Age;0;2020;100;(40,45];43;;4250;;;;;;;;
Soule Xiberoa;Age;0;2020;37;(25,30];28;;1018;;;;;;;;
Soule Xiberoa;Age;0;2020;68;(60,65];63;;4250;;;;;;;;
Soule Xiberoa;Age;0;2020;145;(55,60];58;;8338;;;;;;;;
Soule Xiberoa;Age;0;2020;25;(0,25];20;;500;;;;;;;;
Soule Xiberoa;Age;0;2020;25;(65,70];68;;1688;;;;;;;;
Soule Xiberoa;Age;0;2020;53;(30,35];33;;1723;;;;;;;;
Soule Xiberoa;Age;0;2020;124;(50,55];53;;6510;;;;;;;;
Soule Xiberoa;Age;0;2020;94;(45,50];48;;4465;;;;;;;;
Soule Xiberoa;Age;0;2020;35;(70,Inf];75;;2625;;;;;;;;
Sud Pays Basque;Age;0;2010;25;(25,30];28;;688;;;;;;;;
Sud Pays Basque;Age;0;2010;44;(70,Inf];75;;3300;;;;;;;;
Sud Pays Basque;Age;0;2010;32;(35,40];38;;1200;;;;;;;;
Sud Pays Basque;Age;0;2010;65;(45,50];48;;3088;;;;;;;;
Sud Pays Basque;Age;0;2010;59;(55,60];58;;3393;;;;;;;;
Sud Pays Basque;Age;0;2010;52;(40,45];43;;2210;;;;;;;;
Sud Pays Basque;Age;0;2010;68;(50,55];53;;3570;;;;;;;;
Sud Pays Basque;Age;0;2010;42;(60,65];63;;2625;;;;;;;;
Sud Pays Basque;Age;0;2010;8;(0,25];20;;160;;;;;;;;
Sud Pays Basque;Age;0;2010;30;(30,35];33;;975;;;;;;;;
Sud Pays Basque;Age;0;2010;13;(65,70];68;;878;;;;;;;;
Sud Pays Basque;Age;0;2020;39;(35,40];38;;1463;;;;;;;;
Sud Pays Basque;Age;0;2020;25;(65,70];68;;1688;;;;;;;;
Sud Pays Basque;Age;0;2020;17;(70,Inf];75;;1275;;;;;;;;
Sud Pays Basque;Age;0;2020;49;(50,55];53;;2573;;;;;;;;
Sud Pays Basque;Age;0;2020;26;(30,35];33;;845;;;;;;;;
Sud Pays Basque;Age;0;2020;12;(25,30];28;;330;;;;;;;;
Sud Pays Basque;Age;0;2020;44;(40,45];43;;1870;;;;;;;;
Sud Pays Basque;Age;0;2020;38;(45,50];48;;1805;;;;;;;;
Sud Pays Basque;Age;0;2020;63;(55,60];58;;3623;;;;;;;;
Sud Pays Basque;Age;0;2020;12;(0,25];20;;240;;;;;;;;
Sud Pays Basque;Age;0;2020;37;(60,65];63;;2313;;;;;;;;
