echelle;categorie;type;annee;valeur;ugb;tetes;bio
Nive Adour;Cheptel;poulets de chair et coqs;2020;3;233,2;21200;0
Pays de Bidache;Cheptel;total bovins;2010;147;8794,1;10057;0
Pays de Bidache;Cheptel;truies;2010;5;75,6;360;0
Pays de Bidache;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;138;39,886;2849;0
Pays de Bidache;Cheptel;total ensemble du cheptel;2010;223;13142,018;0;0
Pays de Bidache;Cheptel;total porcins;2010;39;950,66;3322;0
Pays de Bidache;Cheptel;apiculture (nombre de ruches);2010;4;0;69;0
Pays de Bidache;Cheptel;total équins;2010;35;236,3;255;0
Pays de Bidache;Cheptel;total volailles;2010;164;2459,129;144186;0
Pays de Bidache;Cheptel;poulets de chair et coqs;2010;26;570,801;51891;0
Pays de Bidache;Cheptel;total caprins;2010;6;23,92;144;0
Pays de Bidache;Cheptel;lapines mères;2010;36;29,559;177;0
Pays de Bidache;Cheptel;vaches laitières;2010;34;2317,1;1598;0
Pays de Bidache;Cheptel;brebis mères laitières;2010;10;450,2;2251;0
Pays de Bidache;Cheptel;chèvres;2010;5;8,1;27;0
Pays de Bidache;Cheptel;juments selle;2010;15;52,2;58;0
Pays de Bidache;Cheptel;vaches allaitantes;2010;112;3078;3420;0
Pays de Bidache;Cheptel;total ovins;2010;31;648,35;3659;0
Pays de Bidache;Cheptel;brebis mères allaitantes;2010;18;105,91;623;0
Pays de Bidache;Cheptel;juments lourdes;2010;5;26;26;0
Pays de Bidache;Cheptel;total ensemble du cheptel;2020;159;11245,08;0;7
Pays de Bidache;Cheptel;vaches laitières;2020;19;1293,4;892;-999
Pays de Bidache;Cheptel;chèvres;2020;-999;-999;-999;0
Pays de Bidache;Cheptel;juments lourdes;2020;5;46;46;0
Pays de Bidache;Cheptel;lapines mères;2020;4;2,004;12;0
Pays de Bidache;Cheptel;total ovins;2020;22;865;5361;0
Pays de Bidache;Cheptel;total caprins;2020;-999;-999;-999;0
Pays de Bidache;Cheptel;truies;2020;-999;-999;-999;0
