echelle;categorie;type;annee;valeur;sau_ha;ugb;etp;pbs;otefdd_coef17
Errobi;Otex;bovins viande;2010;56;1085,61;1274,609;48,5992142;1081,20195;4600
Errobi;Otex;ovins ou caprins;2010;114;2530,22;5688,174;151,928859;6807,3779;4813
Errobi;Otex;légumes ou champignons;2010;-999;-999;-999;-999;-999;2800
Errobi;Otex;polyculture et/ou polyélevage;2010;33;633,56;638,444;41,5647744;1188,00618;6184
Errobi;Otex;fruits ou autres cultures permanentes;2010;3;32,96;-999;2,625;352,4052;3900
Errobi;Otex;bovins mixtes;2010;4;93,68;133,465;3,75;140,1167;4700
Errobi;Otex;combinaisons de granivores (porcins, volailles);2010;10;93,57;289,802;12,4821689;438,83635;5374
Errobi;Otex;autres grandes cultures;2010;86;435,93;-999;70,1143827;191,98356;1600
Errobi;Otex;fleurs et/ou horticulture diverse;2010;3;-999;0;4,25;92,71882;2900
Errobi;Otex;viticulture;2010;-999;-999;-999;-999;-999;3500
Errobi;Otex;céréales et/ou oléoprotéagineux;2010;25;459,79;8,147;11,1710335;358,27458;1500
Errobi;Otex;équidés et/ou autres herbivores;2010;58;942,61;1873,44;49,2849492;1981,17545;4840
Errobi;Otex;bovins viande;2020;36;926,88;1111,555;42,4576984;941,60358;4600
Errobi;Otex;équidés et/ou autres herbivores;2020;38;664,28;1428,62;30,8253968;1522,33017;4840
Errobi;Otex;bovins lait;2020;6;165,86;362,86;6,9;480,93324;4500
Errobi;Otex;ovins ou caprins;2020;96;2715,61;6729,746;134,6161111;7789,57792;4813
Errobi;Otex;volailles;2020;3;0;105,184;6,875;153,31256;5200
Errobi;Otex;légumes ou champignons;2020;7;50,83;-999;15,4094444;746,79794;2800
Errobi;Otex;porcins;2020;-999;-999;-999;-999;-999;5100
Errobi;Otex;céréales et/ou oléoprotéagineux;2020;15;421,83;-999;7,6916667;319,60603;1500
Errobi;Otex;autres grandes cultures;2020;79;433,41;2,764;75,9207937;263,95923;1600
Errobi;Otex;fleurs et/ou horticulture diverse;2020;4;-999;-999;7,8746032;-999;2900
Errobi;Otex;bovins mixtes;2020;-999;-999;-999;-999;-999;4700
Errobi;Otex;combinaisons de granivores (porcins, volailles);2020;-999;-999;-999;-999;-999;5374
Errobi;Otex;polyculture et/ou polyélevage;2020;28;701,82;766,86;54,0287302;1749,88216;6184
Errobi;Otex;fruits ou autres cultures permanentes;2020;6;45,35;0;4,1055556;344,83439;3900
Garazi Baigorri;Otex;autres grandes cultures;2010;22;276,65;-999;8,672671;21,91636;1600
Garazi Baigorri;Otex;bovins lait;2010;33;1253,83;2263,824;56,9570597;2987,46603;4500
Garazi Baigorri;Otex;ovins ou caprins;2010;564;15766,34;37278,512;818,7336939;40700,38948;4813
Garazi Baigorri;Otex;viticulture;2010;29;494,24;361,933;51,4541485;3511,68086;3500
Garazi Baigorri;Otex;porcins;2010;10;191,92;1561,33;22,875;2794,01725;5100
Garazi Baigorri;Otex;fruits ou autres cultures permanentes;2010;5;64,78;-999;5,5065414;763,90069;3900
Garazi Baigorri;Otex;équidés et/ou autres herbivores;2010;63;1576,22;2553,104;64,7368996;2726,23467;4840
Garazi Baigorri;Otex;combinaisons de granivores (porcins, volailles);2010;-999;-999;-999;-999;-999;5374
Garazi Baigorri;Otex;polyculture et/ou polyélevage;2010;35;574,06;854,196;44,4162155;1849,58068;6184
Garazi Baigorri;Otex;céréales et/ou oléoprotéagineux;2010;-999;-999;0;-999;-999;1500
Garazi Baigorri;Otex;bovins viande;2010;103;2786,05;4189,493;115,8256051;3279,43274;4600
Garazi Baigorri;Otex;volailles;2010;4;90,04;-999;11,9583333;1486,51921;5200
Garazi Baigorri;Otex;fleurs et/ou horticulture diverse;2010;-999;-999;0;-999;-999;2900
Garazi Baigorri;Otex;bovins mixtes;2010;-999;-999;-999;-999;-999;4700
Garazi Baigorri;Otex;non classées;2010;-999;0;0;-999;-999;9000
Garazi Baigorri;Otex;fleurs et/ou horticulture diverse;2020;-999;-999;0;-999;-999;2900
Garazi Baigorri;Otex;volailles;2020;4;87,24;1440,62;9,8309524;1900,24728;5200
Garazi Baigorri;Otex;bovins mixtes;2020;7;337,5;835,79;13,375;991,01283;4700
Garazi Baigorri;Otex;bovins lait;2020;23;965,05;1880,922;39,8340476;2465,17912;4500
Garazi Baigorri;Otex;céréales et/ou oléoprotéagineux;2020;3;59,91;0;1,375;-999;1500
Garazi Baigorri;Otex;autres grandes cultures;2020;38;363,89;0;17,3435714;13,57965;1600
Garazi Baigorri;Otex;porcins;2020;10;133,58;3350,758;32,4571429;2851,8543;5100
Garazi Baigorri;Otex;polyculture et/ou polyélevage;2020;15;456;669,681;23,2144444;1521,2068;6184
Garazi Baigorri;Otex;légumes ou champignons;2020;-999;-999;0;-999;-999;2800
Garazi Baigorri;Otex;viticulture;2020;29;449,41;276,382;61,5429365;3684,75774;3500
Garazi Baigorri;Otex;bovins viande;2020;98;2809,48;4269,039;110,1266667;3414,33146;4600
Garazi Baigorri;Otex;fruits ou autres cultures permanentes;2020;6;50,82;-999;7,0542857;333,98013;3900
Garazi Baigorri;Otex;ovins ou caprins;2020;484;15086,3;35221,391;682,0045238;37821,25494;4813
Garazi Baigorri;Otex;équidés et/ou autres herbivores;2020;46;1230,92;2443,186;55,1261111;2477,98797;4840
Garazi Baigorri;Otex;combinaisons de granivores (porcins, volailles);2020;4;81,07;122,444;5,1694444;151,31119;5374
Iholdi Oztibarre;Otex;porcins;2010;-999;-999;-999;-999;-999;5100
Iholdi Oztibarre;Otex;combinaisons de granivores (porcins, volailles);2010;6;164,61;819,136;10,25;760,90205;5374
Iholdi Oztibarre;Otex;bovins lait;2010;13;324,13;727,691;17,375;928,75;4500
Iholdi Oztibarre;Otex;bovins viande;2010;62;1801,12;2124,367;74,176241;1730,13054;4600
Iholdi Oztibarre;Otex;bovins mixtes;2010;4;153,2;238,57;4;280,752;4700
Iholdi Oztibarre;Otex;ovins ou caprins;2010;252;9765,24;20464,442;449,5967261;22095,41511;4813
Iholdi Oztibarre;Otex;volailles;2010;9;168,83;967,477;15,7058961;2844,78778;5200
Iholdi Oztibarre;Otex;céréales et/ou oléoprotéagineux;2010;-999;-999;0;-999;-999;1500
Iholdi Oztibarre;Otex;autres grandes cultures;2010;9;107,06;-999;4,125;14,80559;1600
Iholdi Oztibarre;Otex;équidés et/ou autres herbivores;2010;15;471,47;910,176;17,415284;953,34448;4840
Iholdi Oztibarre;Otex;polyculture et/ou polyélevage;2010;14;341,54;1049,57;28,07369;1371,18405;6184
Iholdi Oztibarre;Otex;fleurs et/ou horticulture diverse;2020;-999;-999;-999;-999;-999;2900
Iholdi Oztibarre;Otex;combinaisons de granivores (porcins, volailles);2020;4;203,71;469,736;9,625;517,27219;5374
Iholdi Oztibarre;Otex;polyculture et/ou polyélevage;2020;7;163,74;210,99;8,75;363,048;6184
Iholdi Oztibarre;Otex;autres grandes cultures;2020;11;117,69;0;6,4384921;4,05751;1600
Iholdi Oztibarre;Otex;bovins viande;2020;52;1408,81;2441,099;50,3249206;2064,66905;4600
Iholdi Oztibarre;Otex;ovins ou caprins;2020;232;10128,11;20999,774;372,4611905;22281,37709;4813
Iholdi Oztibarre;Otex;porcins;2020;-999;-999;-999;-999;-999;5100
Iholdi Oztibarre;Otex;fruits ou autres cultures permanentes;2020;-999;-999;0;-999;-999;3900
Iholdi Oztibarre;Otex;bovins mixtes;2020;3;159,15;259,94;6;243,9273;4700
Iholdi Oztibarre;Otex;viticulture;2020;-999;-999;-999;-999;-999;3500
Iholdi Oztibarre;Otex;équidés et/ou autres herbivores;2020;20;625,5;1452,99;24,75;1631,55905;4840
Iholdi Oztibarre;Otex;volailles;2020;5;57,42;434,414;5,625;1307,35078;5200
Iholdi Oztibarre;Otex;céréales et/ou oléoprotéagineux;2020;-999;-999;0;-999;-999;1500
Iholdi Oztibarre;Otex;légumes ou champignons;2020;4;53,25;0;9,925;293,38772;2800
Iholdi Oztibarre;Otex;bovins lait;2020;9;348,14;560,71;9,6936508;745,79755;4500
Nive Adour;Otex;bovins mixtes;2010;3;30,22;75,978;2,875;83,15419;4700
Nive Adour;Otex;porcins;2010;-999;-999;-999;-999;-999;5100
Nive Adour;Otex;bovins viande;2010;25;465,6;733,605;20,5191048;595,72839;4600
Nive Adour;Otex;combinaisons de granivores (porcins, volailles);2010;3;58,23;-999;4,25;136,02155;5374
Nive Adour;Otex;fruits ou autres cultures permanentes;2010;-999;-999;-999;-999;-999;3900
Nive Adour;Otex;équidés et/ou autres herbivores;2010;11;134,03;133,21;6,3640633;146,0352;4840
Nive Adour;Otex;légumes ou champignons;2010;5;70,89;-999;8,5060044;526,49618;2800
Nive Adour;Otex;bovins lait;2010;14;397,54;661,973;15,859099;932,14397;4500
Nive Adour;Otex;volailles;2010;7;91,03;326,95;4,772402;699,10129;5200
Nive Adour;Otex;ovins ou caprins;2010;12;144,14;203,109;7,0655022;235,281;4813
Nive Adour;Otex;céréales et/ou oléoprotéagineux;2010;6;136,01;-999;2,7631004;128,34574;1500
Nive Adour;Otex;autres grandes cultures;2010;13;135,06;0;4;17,76522;1600
Nive Adour;Otex;polyculture et/ou polyélevage;2010;10;88,03;105,868;6,75;265,88982;6184
Nive Adour;Otex;autres grandes cultures;2020;15;169,51;-999;8,2621429;73,52197;1600
Nive Adour;Otex;bovins viande;2020;18;489,38;539,355;14,5063492;456,0771;4600
Nive Adour;Otex;volailles;2020;5;121,9;395,94;7,0190476;630,54012;5200
Nive Adour;Otex;équidés et/ou autres herbivores;2020;6;55,15;42,88;4;45,45935;4840
Nive Adour;Otex;céréales et/ou oléoprotéagineux;2020;7;78,33;0;7,625;64,8723;1500
Nive Adour;Otex;bovins mixtes;2020;3;69,51;58,54;3,125;73,9633;4700
Nive Adour;Otex;porcins;2020;-999;-999;-999;-999;-999;5100
Nive Adour;Otex;fleurs et/ou horticulture diverse;2020;4;33,23;0;45,1933333;1272,10899;2900
Nive Adour;Otex;fruits ou autres cultures permanentes;2020;-999;-999;0;-999;-999;3900
Nive Adour;Otex;bovins lait;2020;4;183,65;324;5,7516667;446,67965;4500
Nive Adour;Otex;ovins ou caprins;2020;16;266,64;287,66;13,0634921;335,16508;4813
Nive Adour;Otex;combinaisons de granivores (porcins, volailles);2020;-999;-999;-999;-999;-999;5374
Nive Adour;Otex;polyculture et/ou polyélevage;2020;6;18,89;-999;7,5666667;272,19719;6184
